_id,id,title,publish_date,source_country,sentiment
646fddfd0576b45037ddb42e,84486848,What’s next? Our predictions on the issues to dominate education in 2023,2023-01-03 13:00:00,ie,-0.245
646fddfd0576b45037ddb42f,77288848,‘Large decline’ in planning permissions for new homes amid costs squeeze,2022-12-09 13:46:59,ie,-0.311
646fddfd0576b45037ddb430,85058362,Applied Driving partners with Institute of Highway Engineers,2023-01-05 12:59:58,ie,0.07
646fddfd0576b45037ddb431,67744118,Government approval of €170.6m investment in Waterford’s North Quays paves way for Ireland’s largest urban regeneration project - MerrionStreet,2022-11-09 18:19:42,ie,0.597
646fddfd0576b45037ddb432,103129166,What skills are needed in the current economic climate?,2023-03-14 03:00:00,ie,0.233
646fddfd0576b45037ddb433,81935190,Irish in Canada falling out of legal status due to delays in processing residency applications,2022-12-26 04:00:00,ie,-0.227
646fddfd0576b45037ddb434,69948360,Climate tech 2.0 still has a one per cent problem,2022-11-16 13:50:22,ie,-0.341
646fddfd0576b45037ddb435,110881884,Una Mullally: Dublin has an ambience issue. Tourists don’t want to come here,2023-04-17 07:08:50,ie,-0.322
646fddfd0576b45037ddb436,111384338,Ten year delays to N59 upgrade in Connemara likened to “sick joke”,2023-04-21 07:58:33,ie,0.484
646fddfd0576b45037ddb437,77215772,ESRI: State should &#039;regulate land&#039; prices to drive down the cost of housing,2022-12-09 08:28:58,ie,0.272
646fddfd0576b45037ddb438,77225596,French economy clings on to growth as energy concerns mount,2022-12-09 09:16:55,ie,-0.084
646fddfd0576b45037ddb439,111916864,Follow Live: Macra ‘Steps for our Future’ March to Government Buildings,2023-04-26 00:25:00,ie,0.36
646fddfd0576b45037ddb43a,101644142,Central Bank warns poor housing supply is a 'constraint' on Irish economy,2023-03-08 01:05:21,ie,-0.003
646fddfd0576b45037ddb43b,86076974,"Taoiseach Leo Varadkar &amp;lsquo;will do all it takes, leaving no stone unturned&amp;rsquo; to end housing emergency – except touch the €5bn surplus",2023-01-09 10:17:04,ie,0.053
646fddfd0576b45037ddb43c,111044902,Opinion: Grip of winter remains a reality on almost every farm,2023-04-18 13:40:00,ie,-0.399
646fddfd0576b45037ddb43d,107179316,Asking prices for homes in Ireland fall for first time since 2013,2023-03-29 01:00:00,ie,-0.386
646fddfd0576b45037ddb43e,92198988,"Extending opening hours &#039;will increase the amount of harm from alcohol&#039;, committee told",2023-01-31 20:41:00,ie,0.172
